22 0 . . 6.11 1.33
22 1 . . 3.05 1.48
23 0 628 100 4.5 2.4
23 1 628 100 4.435 2.54
24 0 700 136 5.9 2.66
24 1 700 136 5.9 3.3
25 0 776 114 5.78 3.43
25 1 776 114 5.1 2.98
26 0 884 124 5.65 3.13
26 1 884 124 5.97 2.79
27 0 1000 191 7.25 2.91
27 1 1000 191 6.365 3.02
28 0 1130 154 8.25 2.97
28 1 1130 154 7.46 3.06
29 0 1300 182 7.7 3.15
29 1 1300 182 8.09 2.97
30 0 1490 252 8.5 3.58
30 1 1490 252 7.95 2.85
31 0 1710 311 9.295 2.97
31 1 1710 311 8.3 3.75
32 0 1920 255 10.54 2.97
32 1 1920 255 8.72 2.91
33 0 2140 288 10.5 3.16
33 1 2140 288 8.93 3.83
34 0 2330 336 8.555 5.54
34 1 2380 345 10.3 3.77
35 0 2530 458 13.85 3.7
35 1 2610 495 8.38 4
36 0 2730 463 16.85 4.78
36 1 2830 494 15.66 4.84
37 0 2910 431 . .
37 1 3030 461 . .
38 0 3070 428 . .
38 1 3200 442 . .
