                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                            Survival
                                                                            Standard    Number    Number
                           Timelist         day     Survival    Failure      Error      Failed     Left

                             0.0000      0.0000       1.0000           0           0       0       471  
                             3.0000      3.0000       0.9830      0.0170     0.00595       8       463  
                             7.0000      7.0000       0.8958      0.1042      0.0141      49       419  
                            14.0000     12.0000       0.8765      0.1235      0.0152      58       405  
                            21.0000     21.0000       0.8721      0.1279      0.0154      60       389  
                            28.0000     21.0000       0.8721      0.1279      0.0154      60       378  
                            35.0000     35.0000       0.8651      0.1349      0.0158      63       356  
                            42.0000     39.0000       0.8625      0.1375      0.0160      64       314  
                            49.0000     39.0000       0.8625      0.1375      0.0160      64       272  
                            56.0000     39.0000       0.8625      0.1375      0.0160      64       226  


                                              Summary Statistics for Time Variable day

                                                         Quartile Estimates
 
                                                    Point         95% Confidence Interval
                                      Percent    Estimate    Transform      [Lower      Upper)

                                           75       .        LOGLOG          .           .    
                                           50       .        LOGLOG          .           .    
                                           25       .        LOGLOG          .           .    


                                                         Mean    Standard Error

                                                      34.8200            0.5042

NOTE: The mean survival time and its standard error were underestimated because the largest observation was censored and the 
      estimation was restricted to the largest event time.


                                       Summary of the Number of Censored and Uncensored Values
 
                                                                               Percent
                                                 Total  Failed    Censored    Censored

                                                   471      64         407       86.41
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left
                                  33.0000*           .           .           .      62       364  
                                  33.0000*           .           .           .      62       363  
                                  34.0000*           .           .           .      62       362  
                                  34.0000*           .           .           .      62       361  
                                  34.0000*           .           .           .      62       360  
                                  34.0000*           .           .           .      62       359  
                                  35.0000       0.8651      0.1349      0.0158      63       358  
                                  35.0000*           .           .           .      63       357  
                                  35.0000*           .           .           .      63       356  
                                  36.0000*           .           .           .      63       355  
                                  36.0000*           .           .           .      63       354  
                                  36.0000*           .           .           .      63       353  
                                  36.0000*           .           .           .      63       352  
                                  36.0000*           .           .           .      63       351  
                                  36.0000*           .           .           .      63       350  
                                  36.0000*           .           .           .      63       349  
                                  36.0000*           .           .           .      63       348  
                                  37.0000*           .           .           .      63       347  
                                  37.0000*           .           .           .      63       346  
                                  37.0000*           .           .           .      63       345  
                                  37.0000*           .           .           .      63       344  
                                  37.0000*           .           .           .      63       343  
                                  37.0000*           .           .           .      63       342  
                                  37.0000*           .           .           .      63       341  
                                  38.0000*           .           .           .      63       340  
                                  38.0000*           .           .           .      63       339  
                                  38.0000*           .           .           .      63       338  
                                  38.0000*           .           .           .      63       337  
                                  38.0000*           .           .           .      63       336  
                                  38.0000*           .           .           .      63       335  
                                  38.0000*           .           .           .      63       334  
                                  39.0000       0.8625      0.1375      0.0160      64       333  
                                  39.0000*           .           .           .      64       332  
                                  39.0000*           .           .           .      64       331  
                                  39.0000*           .           .           .      64       330  
                                  39.0000*           .           .           .      64       329  
                                  40.0000*           .           .           .      64       328  
                                  40.0000*           .           .           .      64       327  
